XY
	CURVE (1mkcl-5mmolar18btmapaq-nitrogen-rde-1200mvpers-50mvpers.DTA)
4.512e-001	2.868e-006
4.511e-001	2.536e-006
4.510e-001	2.816e-006
4.508e-001	2.648e-006
4.508e-001	2.544e-006
4.508e-001	2.853e-006
4.506e-001	2.588e-006
4.504e-001	2.723e-006
4.504e-001	2.556e-006
4.503e-001	2.608e-006
4.502e-001	2.552e-006
4.502e-001	2.633e-006
4.500e-001	2.723e-006
4.499e-001	2.645e-006
4.497e-001	2.449e-006
4.496e-001	2.535e-006
4.495e-001	2.489e-006
4.495e-001	2.687e-006
4.494e-001	2.542e-006
4.494e-001	2.683e-006
4.492e-001	2.664e-006
4.491e-001	2.644e-006
4.490e-001	2.551e-006
4.488e-001	2.600e-006
4.488e-001	2.642e-006
4.487e-001	2.565e-006
4.486e-001	2.615e-006
4.486e-001	2.456e-006
4.485e-001	2.743e-006
4.483e-001	2.613e-006
4.481e-001	2.846e-006
4.480e-001	2.512e-006
4.479e-001	2.704e-006
4.478e-001	2.621e-006
4.477e-001	2.609e-006
4.476e-001	2.784e-006
4.475e-001	2.688e-006
4.474e-001	2.758e-006
4.473e-001	2.589e-006
4.472e-001	2.738e-006
4.471e-001	2.676e-006
4.470e-001	2.648e-006
4.469e-001	2.682e-006
4.468e-001	2.832e-006
4.467e-001	2.544e-006
4.466e-001	2.616e-006
4.464e-001	2.597e-006
4.464e-001	2.607e-006
4.463e-001	2.588e-006
4.462e-001	2.638e-006
4.461e-001	2.462e-006
4.460e-001	2.611e-006
4.459e-001	2.424e-006
4.458e-001	2.442e-006
4.457e-001	2.572e-006
4.456e-001	2.535e-006
4.455e-001	2.663e-006
4.454e-001	2.421e-006
4.453e-001	2.531e-006
4.452e-001	2.569e-006
4.451e-001	2.469e-006
4.450e-001	2.509e-006
4.449e-001	2.501e-006
4.448e-001	2.448e-006
4.447e-001	2.486e-006
4.446e-001	2.438e-006
4.445e-001	2.528e-006
4.444e-001	2.603e-006
4.443e-001	2.510e-006
4.442e-001	2.452e-006
4.441e-001	2.671e-006
4.440e-001	2.455e-006
4.439e-001	2.532e-006
4.438e-001	2.732e-006
4.438e-001	2.497e-006
4.436e-001	2.430e-006
4.435e-001	2.597e-006
4.433e-001	2.641e-006
4.433e-001	2.520e-006
4.432e-001	2.506e-006
4.431e-001	2.483e-006
4.430e-001	2.425e-006
4.429e-001	2.548e-006
4.428e-001	2.562e-006
4.427e-001	2.495e-006
4.426e-001	2.563e-006
4.425e-001	2.375e-006
4.423e-001	2.525e-006
4.423e-001	2.482e-006
4.422e-001	2.593e-006
4.422e-001	2.442e-006
4.420e-001	2.450e-006
4.419e-001	2.449e-006
4.418e-001	2.689e-006
4.417e-001	2.435e-006
4.416e-001	2.484e-006
4.415e-001	2.331e-006
4.414e-001	2.580e-006
4.413e-001	2.402e-006
4.412e-001	2.415e-006
4.411e-001	2.468e-006
4.410e-001	2.442e-006
4.409e-001	2.270e-006
4.408e-001	2.393e-006
4.407e-001	2.496e-006
4.406e-001	2.452e-006
4.406e-001	2.427e-006
4.405e-001	2.393e-006
4.404e-001	2.533e-006
4.402e-001	2.338e-006
4.401e-001	2.373e-006
4.400e-001	2.608e-006
4.399e-001	2.370e-006
4.398e-001	2.441e-006
4.398e-001	2.441e-006
4.396e-001	2.416e-006
4.395e-001	2.391e-006
4.394e-001	2.416e-006
4.393e-001	2.481e-006
4.392e-001	2.349e-006
4.391e-001	2.453e-006
4.390e-001	2.502e-006
4.390e-001	2.252e-006
4.389e-001	2.219e-006
4.388e-001	2.442e-006
4.386e-001	2.348e-006
4.385e-001	2.195e-006
4.384e-001	2.327e-006
4.383e-001	2.386e-006
4.382e-001	2.304e-006
4.382e-001	2.380e-006
4.381e-001	2.406e-006
4.379e-001	2.238e-006
4.378e-001	2.431e-006
4.377e-001	2.248e-006
4.376e-001	2.208e-006
4.375e-001	2.573e-006
4.374e-001	2.435e-006
4.374e-001	2.230e-006
4.373e-001	2.370e-006
4.372e-001	2.412e-006
4.370e-001	2.448e-006
4.369e-001	2.576e-006
4.368e-001	2.288e-006
4.367e-001	2.278e-006
4.366e-001	2.282e-006
4.366e-001	2.335e-006
4.365e-001	2.184e-006
4.364e-001	2.436e-006
4.362e-001	2.344e-006
4.361e-001	2.361e-006
4.360e-001	2.380e-006
4.358e-001	2.580e-006
4.358e-001	2.464e-006
4.358e-001	2.368e-006
4.357e-001	2.261e-006
4.356e-001	2.366e-006
4.354e-001	2.354e-006
4.353e-001	2.151e-006
4.352e-001	2.181e-006
4.351e-001	2.463e-006
4.351e-001	2.240e-006
4.350e-001	2.392e-006
4.349e-001	2.140e-006
4.348e-001	2.315e-006
4.347e-001	2.107e-006
4.346e-001	2.303e-006
4.344e-001	2.291e-006
4.343e-001	2.355e-006
4.343e-001	2.269e-006
4.342e-001	2.348e-006
4.342e-001	2.429e-006
4.340e-001	2.472e-006
4.338e-001	2.332e-006
4.337e-001	2.226e-006
4.336e-001	2.158e-006
4.335e-001	2.348e-006
4.335e-001	2.113e-006
4.334e-001	2.291e-006
4.333e-001	2.314e-006
4.332e-001	2.142e-006
4.331e-001	2.192e-006
4.330e-001	2.371e-006
4.328e-001	2.310e-006
4.328e-001	2.301e-006
4.326e-001	2.031e-006
4.326e-001	2.252e-006
4.326e-001	2.001e-006
4.325e-001	2.256e-006
4.322e-001	2.121e-006
4.321e-001	2.131e-006
4.320e-001	2.262e-006
4.319e-001	2.196e-006
4.319e-001	2.464e-006
4.318e-001	2.167e-006
4.317e-001	2.296e-006
4.316e-001	2.289e-006
4.315e-001	2.376e-006
4.313e-001	2.216e-006
4.312e-001	2.181e-006
4.312e-001	2.371e-006
4.311e-001	2.222e-006
4.310e-001	2.051e-006
4.310e-001	2.265e-006
4.309e-001	2.221e-006
4.306e-001	2.207e-006
4.305e-001	2.017e-006
4.304e-001	2.169e-006
4.304e-001	2.201e-006
4.303e-001	2.159e-006
4.302e-001	2.213e-006
4.301e-001	2.181e-006
4.300e-001	2.286e-006
4.299e-001	2.268e-006
4.297e-001	2.261e-006
4.296e-001	2.000e-006
4.296e-001	2.096e-006
4.295e-001	2.175e-006
4.294e-001	2.091e-006
4.294e-001	2.240e-006
4.292e-001	2.168e-006
4.290e-001	2.011e-006
4.289e-001	1.983e-006
4.288e-001	2.082e-006
4.288e-001	2.128e-006
4.286e-001	2.061e-006
4.286e-001	2.161e-006
4.285e-001	2.070e-006
4.284e-001	2.154e-006
4.283e-001	2.248e-006
4.282e-001	2.153e-006
4.281e-001	2.118e-006
4.280e-001	2.160e-006
4.279e-001	2.279e-006
4.278e-001	1.976e-006
4.277e-001	2.017e-006
4.276e-001	2.236e-006
4.274e-001	2.057e-006
4.272e-001	2.160e-006
4.272e-001	2.206e-006
4.271e-001	2.061e-006
4.270e-001	2.134e-006
4.269e-001	2.105e-006
4.269e-001	2.083e-006
4.268e-001	2.226e-006
4.267e-001	2.145e-006
4.266e-001	2.142e-006
4.264e-001	2.206e-006
4.263e-001	1.924e-006
4.263e-001	1.934e-006
4.262e-001	2.103e-006
4.262e-001	2.297e-006
4.259e-001	1.976e-006
4.257e-001	2.017e-006
4.257e-001	2.134e-006
4.256e-001	2.053e-006
4.256e-001	2.115e-006
4.255e-001	1.905e-006
4.254e-001	2.136e-006
4.252e-001	1.985e-006
4.252e-001	2.221e-006
4.252e-001	2.171e-006
4.250e-001	2.098e-006
4.249e-001	2.076e-006
4.248e-001	2.063e-006
4.247e-001	2.017e-006
4.246e-001	1.949e-006
4.246e-001	2.133e-006
4.245e-001	2.148e-006
4.242e-001	2.161e-006
4.240e-001	2.084e-006
4.240e-001	1.950e-006
4.240e-001	2.207e-006
4.239e-001	1.966e-006
4.238e-001	2.048e-006
4.238e-001	2.059e-006
4.237e-001	1.970e-006
4.236e-001	1.782e-006
4.234e-001	2.148e-006
4.233e-001	1.975e-006
4.232e-001	1.853e-006
4.231e-001	1.797e-006
4.230e-001	2.027e-006
4.230e-001	2.085e-006
4.229e-001	2.077e-006
4.227e-001	2.038e-006
4.225e-001	2.019e-006
4.224e-001	2.167e-006
4.223e-001	2.033e-006
4.222e-001	1.935e-006
4.221e-001	1.835e-006
4.220e-001	2.042e-006
4.219e-001	2.066e-006
4.218e-001	2.108e-006
4.217e-001	2.112e-006
4.216e-001	1.864e-006
4.215e-001	2.128e-006
4.214e-001	2.057e-006
4.213e-001	1.915e-006
4.212e-001	1.880e-006
4.211e-001	1.962e-006
4.210e-001	1.853e-006
4.209e-001	2.046e-006
4.208e-001	2.124e-006
4.207e-001	2.031e-006
4.206e-001	1.970e-006
4.205e-001	2.208e-006
4.204e-001	2.026e-006
4.203e-001	1.943e-006
4.202e-001	1.886e-006
4.201e-001	1.951e-006
4.200e-001	1.987e-006
4.199e-001	2.031e-006
4.198e-001	1.803e-006
4.197e-001	1.910e-006
4.196e-001	1.927e-006
4.195e-001	1.857e-006
4.193e-001	2.086e-006
4.193e-001	2.053e-006
4.192e-001	2.051e-006
4.191e-001	2.023e-006
4.190e-001	1.903e-006
4.189e-001	2.054e-006
4.188e-001	1.780e-006
4.187e-001	2.068e-006
4.186e-001	2.093e-006
4.185e-001	2.011e-006
4.184e-001	2.162e-006
4.183e-001	1.914e-006
4.182e-001	1.938e-006
4.181e-001	1.959e-006
4.180e-001	2.097e-006
4.179e-001	1.921e-006
4.178e-001	1.940e-006
4.177e-001	1.841e-006
4.176e-001	2.023e-006
4.175e-001	1.726e-006
4.174e-001	1.924e-006
4.173e-001	1.949e-006
4.172e-001	1.916e-006
4.171e-001	1.894e-006
4.170e-001	1.993e-006
4.169e-001	1.853e-006
4.168e-001	2.126e-006
4.167e-001	1.978e-006
4.166e-001	1.796e-006
4.165e-001	1.948e-006
4.165e-001	1.925e-006
4.163e-001	1.681e-006
4.161e-001	1.911e-006
4.161e-001	1.875e-006
4.160e-001	1.996e-006
4.159e-001	1.771e-006
4.158e-001	1.916e-006
4.157e-001	2.010e-006
4.156e-001	1.801e-006
4.155e-001	1.974e-006
4.155e-001	1.926e-006
4.153e-001	1.870e-006
4.152e-001	1.826e-006
4.151e-001	1.678e-006
4.150e-001	1.756e-006
4.150e-001	2.012e-006
4.148e-001	1.846e-006
4.147e-001	1.951e-006
4.146e-001	1.997e-006
4.145e-001	1.843e-006
4.144e-001	2.090e-006
4.143e-001	1.921e-006
4.142e-001	1.957e-006
4.141e-001	1.853e-006
4.141e-001	1.743e-006
4.139e-001	1.914e-006
4.139e-001	1.872e-006
4.137e-001	1.759e-006
4.136e-001	1.806e-006
4.135e-001	1.869e-006
4.134e-001	1.963e-006
4.134e-001	1.852e-006
4.133e-001	1.934e-006
4.132e-001	1.848e-006
4.130e-001	2.123e-006
4.129e-001	1.906e-006
4.128e-001	1.881e-006
4.127e-001	1.671e-006
4.126e-001	1.687e-006
4.126e-001	1.714e-006
4.124e-001	1.924e-006
4.123e-001	1.863e-006
4.122e-001	2.001e-006
4.121e-001	1.720e-006
4.120e-001	1.785e-006
4.119e-001	1.931e-006
4.118e-001	1.973e-006
4.118e-001	1.750e-006
4.117e-001	1.734e-006
4.116e-001	1.816e-006
4.115e-001	1.955e-006
4.113e-001	1.648e-006
4.112e-001	1.784e-006
4.112e-001	1.892e-006
4.110e-001	1.710e-006
4.110e-001	1.923e-006
4.109e-001	1.862e-006
4.107e-001	1.965e-006
4.106e-001	1.909e-006
4.105e-001	1.837e-006
4.104e-001	1.742e-006
4.104e-001	1.884e-006
4.102e-001	1.923e-006
4.102e-001	1.742e-006
4.101e-001	1.836e-006
4.100e-001	1.826e-006
4.098e-001	1.788e-006
4.097e-001	1.757e-006
4.096e-001	1.823e-006
4.095e-001	1.768e-006
4.095e-001	1.873e-006
4.094e-001	1.743e-006
4.093e-001	1.765e-006
4.092e-001	1.823e-006
4.091e-001	1.797e-006
4.090e-001	1.967e-006
4.089e-001	1.637e-006
4.087e-001	1.626e-006
4.087e-001	1.881e-006
4.086e-001	1.913e-006
4.086e-001	1.854e-006
4.084e-001	1.858e-006
4.082e-001	1.679e-006
4.081e-001	1.797e-006
4.080e-001	1.913e-006
4.079e-001	2.045e-006
4.079e-001	1.814e-006
4.078e-001	1.720e-006
4.077e-001	1.592e-006
4.076e-001	1.809e-006
4.075e-001	1.807e-006
4.074e-001	1.634e-006
4.072e-001	1.801e-006
4.072e-001	1.704e-006
4.071e-001	1.690e-006
4.070e-001	1.745e-006
4.069e-001	1.871e-006
4.067e-001	1.609e-006
4.067e-001	1.866e-006
4.065e-001	1.732e-006
4.064e-001	1.822e-006
4.064e-001	1.657e-006
4.062e-001	1.706e-006
4.062e-001	1.893e-006
4.061e-001	1.729e-006
4.060e-001	1.660e-006
4.058e-001	1.672e-006
4.058e-001	1.782e-006
4.056e-001	1.662e-006
4.056e-001	1.849e-006
4.055e-001	1.857e-006
4.054e-001	1.660e-006
4.054e-001	1.725e-006
4.052e-001	1.715e-006
4.050e-001	1.681e-006
4.049e-001	1.807e-006
4.048e-001	1.758e-006
4.047e-001	1.742e-006
4.047e-001	1.672e-006
4.046e-001	1.834e-006
4.045e-001	1.750e-006
4.044e-001	1.773e-006
4.043e-001	1.779e-006
4.042e-001	1.543e-006
4.040e-001	1.673e-006
4.039e-001	1.598e-006
4.038e-001	1.623e-006
4.038e-001	1.757e-006
4.037e-001	1.703e-006
4.036e-001	1.594e-006
4.034e-001	1.505e-006
4.033e-001	1.608e-006
4.032e-001	1.678e-006
