XY
	CURVE (1mkcl-nitrogen-rde-400-50mvpers.DTA)
2.494e-001	-3.886e-006
2.493e-001	-3.716e-006
2.492e-001	-4.360e-006
2.491e-001	-3.689e-006
2.490e-001	-3.739e-006
2.489e-001	-3.981e-006
2.488e-001	-4.007e-006
2.487e-001	-3.942e-006
2.486e-001	-3.771e-006
2.485e-001	-3.836e-006
2.484e-001	-4.411e-006
2.483e-001	-4.083e-006
2.481e-001	-4.011e-006
2.480e-001	-3.824e-006
2.480e-001	-4.228e-006
2.479e-001	-3.930e-006
2.478e-001	-4.023e-006
2.477e-001	-4.043e-006
2.476e-001	-3.584e-006
2.475e-001	-4.016e-006
2.475e-001	-4.124e-006
2.474e-001	-3.756e-006
2.472e-001	-3.839e-006
2.471e-001	-3.885e-006
2.470e-001	-4.166e-006
2.469e-001	-4.235e-006
2.468e-001	-4.136e-006
2.467e-001	-4.371e-006
2.466e-001	-3.896e-006
2.465e-001	-3.979e-006
2.464e-001	-4.038e-006
2.463e-001	-3.904e-006
2.461e-001	-3.827e-006
2.461e-001	-3.736e-006
2.460e-001	-3.924e-006
2.459e-001	-3.621e-006
2.458e-001	-3.664e-006
2.458e-001	-4.115e-006
2.456e-001	-4.009e-006
2.455e-001	-3.934e-006
2.454e-001	-3.958e-006
2.453e-001	-3.521e-006
2.452e-001	-4.097e-006
2.451e-001	-3.936e-006
2.450e-001	-3.580e-006
2.449e-001	-4.281e-006
2.447e-001	-4.229e-006
2.446e-001	-4.224e-006
2.446e-001	-4.022e-006
2.445e-001	-4.029e-006
2.445e-001	-4.037e-006
2.443e-001	-4.136e-006
2.442e-001	-4.240e-006
2.442e-001	-4.192e-006
2.440e-001	-3.953e-006
2.439e-001	-3.967e-006
2.438e-001	-4.250e-006
2.437e-001	-4.000e-006
2.436e-001	-3.832e-006
2.436e-001	-3.427e-006
2.434e-001	-4.083e-006
2.433e-001	-3.928e-006
2.432e-001	-3.898e-006
2.430e-001	-3.796e-006
2.429e-001	-3.971e-006
2.428e-001	-3.768e-006
2.427e-001	-4.061e-006
2.426e-001	-3.997e-006
2.425e-001	-3.906e-006
2.424e-001	-3.874e-006
2.423e-001	-3.620e-006
2.422e-001	-3.781e-006
2.421e-001	-3.946e-006
2.420e-001	-4.051e-006
2.419e-001	-4.269e-006
2.418e-001	-3.956e-006
2.417e-001	-3.987e-006
2.416e-001	-4.549e-006
2.415e-001	-3.998e-006
2.414e-001	-3.658e-006
2.413e-001	-3.779e-006
2.412e-001	-4.231e-006
2.411e-001	-4.255e-006
2.410e-001	-4.161e-006
2.409e-001	-3.789e-006
2.408e-001	-4.218e-006
2.407e-001	-3.946e-006
2.406e-001	-4.244e-006
2.405e-001	-3.960e-006
2.404e-001	-3.945e-006
2.403e-001	-3.614e-006
2.402e-001	-3.706e-006
2.401e-001	-3.737e-006
2.400e-001	-3.812e-006
2.399e-001	-3.944e-006
2.398e-001	-4.025e-006
2.397e-001	-3.819e-006
2.396e-001	-4.256e-006
2.395e-001	-4.218e-006
2.394e-001	-3.761e-006
2.393e-001	-3.632e-006
2.392e-001	-4.280e-006
2.391e-001	-3.818e-006
2.390e-001	-4.141e-006
2.389e-001	-4.017e-006
2.388e-001	-3.775e-006
2.387e-001	-4.084e-006
2.386e-001	-4.267e-006
2.385e-001	-3.862e-006
2.384e-001	-4.325e-006
2.383e-001	-3.932e-006
2.382e-001	-4.145e-006
2.381e-001	-4.177e-006
2.380e-001	-4.072e-006
2.379e-001	-4.066e-006
2.378e-001	-3.919e-006
2.377e-001	-4.019e-006
2.376e-001	-3.940e-006
2.375e-001	-4.026e-006
2.374e-001	-4.173e-006
2.373e-001	-3.896e-006
2.372e-001	-4.027e-006
2.371e-001	-3.797e-006
2.370e-001	-3.742e-006
2.369e-001	-3.771e-006
2.368e-001	-3.785e-006
2.367e-001	-4.035e-006
2.366e-001	-3.676e-006
2.365e-001	-3.651e-006
2.364e-001	-4.103e-006
2.363e-001	-3.688e-006
2.362e-001	-3.963e-006
2.361e-001	-3.462e-006
2.360e-001	-3.944e-006
2.359e-001	-3.860e-006
2.358e-001	-4.023e-006
2.357e-001	-3.489e-006
2.356e-001	-4.095e-006
2.355e-001	-4.216e-006
2.354e-001	-4.128e-006
2.353e-001	-4.417e-006
2.352e-001	-3.976e-006
2.351e-001	-4.066e-006
2.350e-001	-4.030e-006
2.349e-001	-4.020e-006
2.348e-001	-3.901e-006
2.347e-001	-4.252e-006
2.346e-001	-4.433e-006
2.345e-001	-4.117e-006
2.344e-001	-4.024e-006
2.343e-001	-3.954e-006
2.342e-001	-3.932e-006
2.341e-001	-3.920e-006
2.340e-001	-4.151e-006
2.339e-001	-3.500e-006
2.338e-001	-3.894e-006
2.337e-001	-4.283e-006
2.336e-001	-3.836e-006
2.335e-001	-3.982e-006
2.334e-001	-3.879e-006
2.333e-001	-4.041e-006
2.332e-001	-4.032e-006
2.331e-001	-3.760e-006
2.330e-001	-4.233e-006
2.329e-001	-3.770e-006
2.328e-001	-4.219e-006
2.327e-001	-4.111e-006
2.326e-001	-3.840e-006
2.325e-001	-3.893e-006
2.324e-001	-4.064e-006
2.323e-001	-4.317e-006
2.322e-001	-3.734e-006
2.321e-001	-3.842e-006
2.320e-001	-4.069e-006
2.319e-001	-3.712e-006
2.318e-001	-3.963e-006
2.317e-001	-3.921e-006
2.316e-001	-3.903e-006
2.315e-001	-3.902e-006
2.314e-001	-3.866e-006
2.313e-001	-4.256e-006
2.312e-001	-3.759e-006
2.311e-001	-4.044e-006
2.310e-001	-4.028e-006
2.309e-001	-3.625e-006
2.308e-001	-4.199e-006
2.307e-001	-4.041e-006
2.306e-001	-4.220e-006
2.305e-001	-3.903e-006
2.304e-001	-3.674e-006
2.303e-001	-3.830e-006
2.302e-001	-4.019e-006
2.301e-001	-3.916e-006
2.300e-001	-4.069e-006
2.299e-001	-4.412e-006
2.298e-001	-4.055e-006
2.297e-001	-3.752e-006
2.296e-001	-4.044e-006
2.295e-001	-3.778e-006
2.294e-001	-4.265e-006
2.293e-001	-3.743e-006
2.292e-001	-4.459e-006
2.291e-001	-4.319e-006
2.290e-001	-3.878e-006
2.289e-001	-4.390e-006
2.288e-001	-3.984e-006
2.287e-001	-3.928e-006
2.286e-001	-4.205e-006
2.285e-001	-3.799e-006
2.284e-001	-3.754e-006
2.283e-001	-3.826e-006
2.282e-001	-3.738e-006
2.281e-001	-3.971e-006
2.280e-001	-4.431e-006
2.279e-001	-4.232e-006
2.278e-001	-3.849e-006
2.277e-001	-3.839e-006
2.276e-001	-4.023e-006
2.275e-001	-4.116e-006
2.274e-001	-3.903e-006
2.273e-001	-4.520e-006
2.272e-001	-4.219e-006
2.271e-001	-4.249e-006
2.270e-001	-4.078e-006
2.269e-001	-3.699e-006
2.268e-001	-4.017e-006
2.267e-001	-3.871e-006
2.266e-001	-4.262e-006
2.265e-001	-3.776e-006
2.264e-001	-3.892e-006
2.263e-001	-4.369e-006
2.262e-001	-4.044e-006
2.261e-001	-3.934e-006
2.260e-001	-4.121e-006
2.259e-001	-3.996e-006
2.258e-001	-3.941e-006
2.257e-001	-3.774e-006
2.256e-001	-4.041e-006
2.255e-001	-4.228e-006
2.254e-001	-3.884e-006
2.253e-001	-4.221e-006
2.252e-001	-4.123e-006
2.251e-001	-3.776e-006
2.250e-001	-4.063e-006
2.249e-001	-4.134e-006
2.248e-001	-4.147e-006
2.247e-001	-4.322e-006
2.246e-001	-4.220e-006
2.245e-001	-4.118e-006
2.244e-001	-4.026e-006
2.243e-001	-3.930e-006
2.242e-001	-3.924e-006
2.241e-001	-3.973e-006
2.240e-001	-4.305e-006
2.239e-001	-3.994e-006
2.238e-001	-3.839e-006
2.237e-001	-4.099e-006
2.236e-001	-4.032e-006
2.235e-001	-4.204e-006
2.234e-001	-4.150e-006
2.233e-001	-4.137e-006
2.232e-001	-4.109e-006
2.231e-001	-4.114e-006
2.230e-001	-4.133e-006
2.229e-001	-4.302e-006
2.228e-001	-4.186e-006
2.227e-001	-4.297e-006
2.226e-001	-3.828e-006
2.225e-001	-4.156e-006
2.224e-001	-4.087e-006
2.223e-001	-3.545e-006
2.222e-001	-3.939e-006
2.221e-001	-3.969e-006
2.220e-001	-3.978e-006
2.219e-001	-3.882e-006
2.218e-001	-4.152e-006
2.217e-001	-3.888e-006
2.216e-001	-4.134e-006
2.215e-001	-4.081e-006
2.214e-001	-3.812e-006
2.213e-001	-3.956e-006
2.212e-001	-3.952e-006
2.211e-001	-4.525e-006
2.210e-001	-4.263e-006
2.209e-001	-4.196e-006
2.208e-001	-3.956e-006
2.207e-001	-4.411e-006
2.206e-001	-3.948e-006
2.205e-001	-4.153e-006
2.204e-001	-4.005e-006
2.203e-001	-3.759e-006
2.202e-001	-3.959e-006
2.201e-001	-4.294e-006
2.200e-001	-4.431e-006
2.199e-001	-4.143e-006
2.198e-001	-3.994e-006
2.197e-001	-4.249e-006
2.196e-001	-4.030e-006
2.195e-001	-4.251e-006
2.194e-001	-4.340e-006
2.193e-001	-3.427e-006
2.192e-001	-4.065e-006
2.191e-001	-4.172e-006
2.190e-001	-4.130e-006
2.189e-001	-3.726e-006
2.188e-001	-4.190e-006
2.187e-001	-4.351e-006
2.186e-001	-4.127e-006
2.185e-001	-4.396e-006
2.184e-001	-3.801e-006
2.183e-001	-4.026e-006
2.182e-001	-4.831e-006
2.181e-001	-4.409e-006
2.180e-001	-3.936e-006
2.179e-001	-3.813e-006
2.178e-001	-4.201e-006
2.177e-001	-4.172e-006
2.176e-001	-4.350e-006
2.175e-001	-4.283e-006
2.174e-001	-4.255e-006
2.173e-001	-3.717e-006
2.172e-001	-3.961e-006
2.171e-001	-4.095e-006
2.170e-001	-4.151e-006
2.169e-001	-3.798e-006
2.168e-001	-3.849e-006
2.167e-001	-4.199e-006
2.166e-001	-4.111e-006
2.165e-001	-3.941e-006
2.164e-001	-4.047e-006
2.163e-001	-4.196e-006
2.162e-001	-4.137e-006
2.161e-001	-3.656e-006
2.160e-001	-4.084e-006
2.159e-001	-3.914e-006
2.158e-001	-4.066e-006
2.157e-001	-4.060e-006
2.156e-001	-4.152e-006
2.155e-001	-4.272e-006
2.154e-001	-4.158e-006
2.153e-001	-4.099e-006
2.152e-001	-4.189e-006
2.151e-001	-4.254e-006
2.150e-001	-4.314e-006
2.149e-001	-4.060e-006
2.148e-001	-4.251e-006
2.147e-001	-4.531e-006
2.146e-001	-4.329e-006
2.145e-001	-3.961e-006
2.144e-001	-4.583e-006
2.143e-001	-4.101e-006
2.142e-001	-4.688e-006
2.141e-001	-3.885e-006
2.140e-001	-4.349e-006
2.139e-001	-4.187e-006
2.138e-001	-4.263e-006
2.137e-001	-4.011e-006
2.136e-001	-4.044e-006
2.135e-001	-4.500e-006
2.134e-001	-3.899e-006
2.133e-001	-3.721e-006
2.132e-001	-3.994e-006
2.131e-001	-4.212e-006
2.130e-001	-4.198e-006
2.129e-001	-4.394e-006
2.128e-001	-4.141e-006
2.127e-001	-4.017e-006
2.126e-001	-3.957e-006
2.125e-001	-4.061e-006
2.124e-001	-4.256e-006
2.123e-001	-4.281e-006
2.122e-001	-3.997e-006
2.121e-001	-4.374e-006
2.120e-001	-4.366e-006
2.119e-001	-4.214e-006
2.118e-001	-4.093e-006
2.117e-001	-4.118e-006
2.116e-001	-4.425e-006
2.115e-001	-4.179e-006
2.114e-001	-4.213e-006
2.113e-001	-4.200e-006
2.112e-001	-4.403e-006
2.111e-001	-4.489e-006
2.110e-001	-3.982e-006
2.109e-001	-4.117e-006
2.108e-001	-3.835e-006
2.107e-001	-4.009e-006
2.106e-001	-4.467e-006
2.105e-001	-4.256e-006
2.104e-001	-4.149e-006
2.103e-001	-4.236e-006
2.102e-001	-4.026e-006
2.101e-001	-4.191e-006
2.100e-001	-4.159e-006
2.099e-001	-3.991e-006
2.098e-001	-4.396e-006
2.097e-001	-3.957e-006
2.096e-001	-3.914e-006
2.095e-001	-4.152e-006
2.094e-001	-4.009e-006
2.093e-001	-4.251e-006
2.092e-001	-4.118e-006
2.091e-001	-3.955e-006
2.090e-001	-3.939e-006
2.089e-001	-4.536e-006
2.088e-001	-4.331e-006
2.087e-001	-4.279e-006
2.086e-001	-4.189e-006
2.085e-001	-4.211e-006
2.084e-001	-4.374e-006
2.083e-001	-3.999e-006
2.082e-001	-4.133e-006
2.081e-001	-3.900e-006
2.080e-001	-4.130e-006
2.079e-001	-4.072e-006
2.078e-001	-4.360e-006
2.077e-001	-4.105e-006
2.076e-001	-4.156e-006
2.075e-001	-4.196e-006
2.074e-001	-4.270e-006
2.073e-001	-4.177e-006
2.072e-001	-4.114e-006
2.071e-001	-3.917e-006
2.070e-001	-4.070e-006
2.069e-001	-4.039e-006
2.068e-001	-4.264e-006
2.067e-001	-4.224e-006
2.066e-001	-4.151e-006
