XY					
	CURVE1 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		
-0.4453	7.47E-05				
-0.4413	8.91E-05				
-0.4374	1.02E-04				
-0.4334	1.14E-04				
-0.4294	1.26E-04				
-0.4254	1.37E-04				
-0.4214	1.49E-04				
-0.4174	1.59E-04				
-0.4134	1.68E-04				
-0.4094	1.77E-04				
-0.4055	1.84E-04				
-0.4014	1.93E-04				
-0.3975	1.99E-04				
-0.3934	2.04E-04				
-0.3895	2.08E-04				
-0.3855	2.12E-04				
-0.3815	2.16E-04				
-0.3775	2.18E-04				
-0.3736	2.19E-04				
-0.3694	2.20E-04				
-0.3656	2.19E-04				
-0.3615	2.20E-04				
-0.3576	2.18E-04				
-0.3535	2.16E-04				
-0.3496	2.14E-04				
-0.3454	2.11E-04				
-0.3416	2.09E-04				
-0.3375	2.05E-04				
-0.3336	2.02E-04				
-0.3295	1.98E-04				
-0.3255	1.94E-04				
-0.3214	1.92E-04				
-0.3176	1.88E-04				
-0.3134	1.84E-04				
-0.3096	1.81E-04				
-0.3055	1.77E-04				
-0.3016	1.75E-04				
-0.2974	1.71E-04				
-0.2936	1.68E-04				
-0.2895	1.65E-04				
-0.2855	1.62E-04				
-0.2815	1.60E-04				
-0.2775	1.57E-04				
-0.2734	1.55E-04				
-0.2696	1.52E-04				
-0.2654	1.50E-04				
-0.2616	1.48E-04				
-0.2575	1.46E-04				
-0.2536	1.44E-04				
-0.2495	1.42E-04				
-0.2456	1.40E-04				
-0.2415	1.39E-04				
-0.2376	1.37E-04				
-0.2335	1.35E-04				
-0.2296	1.33E-04				
-0.2255	1.31E-04				
-0.2217	1.31E-04				
-0.2174	1.29E-04				
-0.2136	1.28E-04				
-0.2095	1.26E-04				
-0.2056	1.24E-04				
-0.2015	1.24E-04				
-0.1975	1.22E-04				
-0.1934	1.21E-04				
-0.1896	1.20E-04				
-0.1855	1.18E-04				
-0.1816	1.18E-04				
-0.1775	1.16E-04				
-0.1736	1.15E-04				
-0.1694	1.14E-04				
-0.1656	1.12E-04				
-0.1615	1.12E-04				
-0.1577	1.10E-04				
-0.1536	1.09E-04				
-0.1496	1.08E-04				
-0.1454	1.06E-04				
-0.1417	1.06E-04				
-0.1375	1.05E-04				
-0.1336	1.04E-04				
-0.1296	1.02E-04				
-0.1256	1.01E-04				
-0.1216	1.01E-04				
-0.1177	9.94E-05				
-0.1135	9.81E-05				
-0.1097	9.69E-05				
-0.1056	9.56E-05				
-0.1017	9.57E-05				
-0.0976	9.43E-05				
-0.0937	9.31E-05				
-0.0895	9.20E-05				
-0.0857	9.08E-05				
-0.0816	9.10E-05				
-0.0777	8.96E-05				
-0.0736	8.85E-05				
-0.0697	8.74E-05				
-0.0655	8.63E-05				
-0.0617	8.66E-05				
-0.0576	8.53E-05				
-0.0537	8.44E-05				
-0.0496	8.34E-05				
-0.0457	8.23E-05				
-0.0415	8.27E-05				
-0.0377	8.15E-05				
-0.0336	8.07E-05				
-0.0298	7.98E-05				
-0.0256	7.88E-05				
-0.0217	7.93E-05				
-0.0175	7.82E-05				
-0.0137	7.74E-05				
-0.0096	7.66E-05				
-0.0057	7.58E-05				
-0.0017	7.63E-05				
0.0022	7.54E-05				
0.0063	7.47E-05				
0.0102	7.40E-05				
0.0144	7.32E-05				
0.0182	7.39E-05				
0.0223	7.30E-05				
0.0262	7.24E-05				
0.0303	7.18E-05				
0.0342	7.12E-05				
0.0383	7.20E-05				
0.0422	7.13E-05				
0.0463	7.08E-05				
0.0502	7.02E-05				
0.0542	6.96E-05				
0.0582	7.04E-05				
0.0623	6.96E-05				
0.0662	6.92E-05				
0.0703	6.87E-05				
0.0742	6.82E-05				
0.0783	6.90E-05				
0.0822	6.83E-05				
0.0863	6.79E-05				
0.0902	6.75E-05				
0.0943	6.70E-05				
0.0982	6.79E-05				
0.10222	6.72E-05				
0.10622	6.68E-05				
0.11031	6.64E-05				
0.1142	6.59E-05				
0.11824	6.68E-05				
0.1222	6.62E-05				
0.12622	6.58E-05				
0.13021	6.54E-05				
0.13421	6.49E-05				
0.13817	6.58E-05				
0.14222	6.51E-05				
0.14619	6.48E-05				
0.1502	6.44E-05				
0.15419	6.39E-05				
