XY
	CURVE1 (new-5mmolar-18btmapaq-CV-nitrogen-700mvps.DTA)[BKS]		CURVE2 (new-5mmolar-18btmapaq-CV-nitrogen-700mvps.DTA)[BKS]
1.309e-001	3.516e-005		
1.349e-001	3.515e-005		
1.389e-001	3.295e-005		
1.429e-001	3.449e-005		
1.469e-001	3.447e-005		
1.509e-001	3.273e-005		
1.549e-001	3.368e-005		
1.589e-001	3.372e-005		
1.629e-001	3.232e-005		
1.669e-001	3.293e-005		
1.709e-001	3.296e-005		
1.749e-001	3.209e-005		
1.789e-001	3.234e-005		
1.829e-001	3.216e-005		
1.869e-001	3.187e-005		
1.908e-001	3.181e-005		
1.948e-001	3.140e-005		
1.989e-001	3.166e-005		
2.029e-001	3.139e-005		
2.069e-001	3.057e-005		
2.108e-001	3.137e-005		
2.149e-001	3.111e-005		
2.189e-001	2.967e-005		
2.229e-001	3.116e-005		
2.269e-001	3.091e-005		
2.309e-001	2.888e-005		
2.348e-001	3.085e-005		
2.388e-001	3.064e-005		
2.428e-001	2.817e-005		
2.468e-001	3.031e-005		
2.508e-001	3.034e-005		
2.548e-001	2.762e-005		
2.588e-001	2.965e-005		
2.628e-001	2.972e-005		
2.668e-001	2.727e-005		
2.708e-001	2.912e-005		
2.749e-001	2.915e-005		
2.788e-001	2.714e-005		
2.828e-001	2.852e-005		
2.868e-001	2.864e-005		
2.908e-001	2.697e-005		
2.948e-001	2.794e-005		
2.988e-001	2.806e-005		
3.028e-001	2.684e-005		
3.068e-001	2.737e-005		
3.108e-001	2.743e-005		
3.148e-001	2.682e-005		
3.188e-001	2.706e-005		
3.228e-001	2.682e-005		
3.268e-001	2.673e-005		
3.308e-001	2.659e-005		
3.348e-001	2.618e-005		
3.388e-001	2.664e-005		
3.428e-001	2.647e-005		
3.468e-001	2.544e-005		
3.508e-001	2.650e-005		
3.548e-001	2.633e-005		
3.588e-001	2.482e-005		
3.628e-001	2.650e-005		
3.668e-001	2.631e-005		
3.708e-001	2.415e-005		
3.748e-001	2.636e-005		
3.788e-001	2.632e-005		
3.828e-001	2.384e-005		
3.867e-001	2.609e-005		
3.908e-001	2.620e-005		
3.948e-001	2.361e-005		
3.987e-001	2.569e-005		
4.028e-001	2.585e-005		
4.068e-001	2.357e-005		
4.108e-001	2.540e-005		
4.147e-001	2.546e-005		
4.188e-001	2.365e-005		
4.228e-001	2.508e-005		
4.268e-001	2.521e-005		
4.307e-001	2.381e-005		
4.348e-001	2.467e-005		
4.388e-001	2.484e-005		
4.428e-001	2.388e-005		
4.468e-001	2.437e-005		
4.508e-001	2.437e-005		
4.548e-001	2.400e-005		
4.588e-001	2.416e-005		
4.627e-001	2.397e-005		
4.668e-001	2.408e-005		
4.707e-001	2.391e-005		
4.748e-001	2.342e-005		
4.787e-001	2.404e-005		
4.828e-001	2.386e-005		
4.867e-001	2.271e-005		
4.907e-001	2.401e-005		
4.947e-001	2.385e-005		
4.988e-001	2.211e-005		
			
