XY	
	CURVE1 (new-5mmolar-18btmapaq-CV-nitrogen-300mvps.DTA)[BKS]
1.26E-01	2.97E-05
1.30E-01	2.83E-05
1.34E-01	2.75E-05
1.38E-01	2.90E-05
1.42E-01	2.85E-05
1.46E-01	2.86E-05
1.50E-01	2.73E-05
1.54E-01	2.64E-05
1.58E-01	2.80E-05
1.62E-01	2.74E-05
1.66E-01	2.76E-05
1.70E-01	2.63E-05
1.74E-01	2.55E-05
1.78E-01	2.70E-05
1.82E-01	2.65E-05
1.86E-01	2.67E-05
1.90E-01	2.53E-05
1.94E-01	2.45E-05
1.98E-01	2.60E-05
2.02E-01	2.56E-05
2.06E-01	2.58E-05
2.10E-01	2.44E-05
2.14E-01	2.37E-05
2.18E-01	2.52E-05
2.22E-01	2.47E-05
2.26E-01	2.50E-05
2.30E-01	2.36E-05
2.34E-01	2.29E-05
2.38E-01	2.44E-05
2.42E-01	2.40E-05
2.46E-01	2.42E-05
2.50E-01	2.28E-05
2.54E-01	2.21E-05
2.58E-01	2.36E-05
2.62E-01	2.32E-05
2.66E-01	2.34E-05
2.70E-01	2.21E-05
2.74E-01	2.14E-05
2.78E-01	2.29E-05
2.82E-01	2.24E-05
2.86E-01	2.27E-05
2.90E-01	2.13E-05
2.94E-01	2.08E-05
2.98E-01	2.22E-05
3.02E-01	2.18E-05
3.06E-01	2.20E-05
3.10E-01	2.06E-05
3.14E-01	2.01E-05
3.18E-01	2.16E-05
3.22E-01	2.12E-05
3.26E-01	2.14E-05
3.30E-01	2.00E-05
3.34E-01	1.95E-05
3.38E-01	2.09E-05
3.42E-01	2.05E-05
3.46E-01	2.08E-05
3.50E-01	1.94E-05
3.54E-01	1.89E-05
3.58E-01	2.04E-05
3.62E-01	1.99E-05
3.66E-01	2.01E-05
3.70E-01	1.88E-05
3.74E-01	1.83E-05
3.78E-01	1.98E-05
3.82E-01	1.94E-05
3.86E-01	1.97E-05
3.90E-01	1.83E-05
3.94E-01	1.79E-05
3.98E-01	1.93E-05
4.02E-01	1.89E-05
4.06E-01	1.91E-05
4.10E-01	1.78E-05
4.14E-01	1.73E-05
4.18E-01	1.88E-05
4.22E-01	1.84E-05
4.26E-01	1.86E-05
4.30E-01	1.72E-05
4.34E-01	1.68E-05
4.38E-01	1.83E-05
4.42E-01	1.79E-05
4.46E-01	1.81E-05
4.50E-01	1.67E-05
4.54E-01	1.63E-05
4.58E-01	1.78E-05
4.62E-01	1.74E-05
4.66E-01	1.76E-05
4.70E-01	1.63E-05
4.74E-01	1.59E-05
4.78E-01	1.74E-05
4.82E-01	1.70E-05
4.86E-01	1.72E-05
4.90E-01	1.59E-05
4.94E-01	1.55E-05
4.98E-01	1.70E-05
5.02E-01	1.67E-05
5.06E-01	1.69E-05
5.10E-01	1.55E-05
5.14E-01	1.52E-05
5.18E-01	1.67E-05
5.22E-01	1.64E-05
5.26E-01	1.66E-05
5.30E-01	1.53E-05
5.34E-01	1.49E-05
5.38E-01	1.64E-05
5.42E-01	1.61E-05
5.46E-01	1.64E-05
5.50E-01	1.50E-05
5.54E-01	1.47E-05
5.58E-01	1.62E-05
5.62E-01	1.59E-05
5.66E-01	1.61E-05
5.70E-01	1.48E-05
5.74E-01	1.45E-05
5.78E-01	1.60E-05
5.82E-01	1.57E-05
5.86E-01	1.59E-05
5.90E-01	1.46E-05
5.94E-01	1.43E-05
5.98E-01	1.58E-05
6.02E-01	1.55E-05
6.06E-01	1.58E-05
6.10E-01	1.44E-05
6.14E-01	1.42E-05
6.18E-01	1.57E-05
6.22E-01	1.53E-05
6.26E-01	1.56E-05
6.30E-01	1.42E-05
6.34E-01	1.40E-05
6.38E-01	1.55E-05
6.42E-01	1.51E-05
6.46E-01	1.54E-05
6.50E-01	1.40E-05
6.54E-01	1.38E-05
6.58E-01	1.52E-05
6.62E-01	1.49E-05
6.66E-01	1.51E-05
6.70E-01	1.37E-05
6.74E-01	1.36E-05
6.78E-01	1.50E-05
6.82E-01	1.47E-05
6.86E-01	1.49E-05
6.90E-01	1.36E-05
6.94E-01	1.34E-05
6.98E-01	1.48E-05
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
